DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2024-10-01 04:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	172.54	EUR	2024-09-30 11:21:44.044
2024-10-01 05:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	109.59	EUR	2024-09-30 11:21:44.044
2024-10-01 06:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	40.61	EUR	2024-09-30 11:21:44.044
2024-10-01 07:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	43.97	EUR	2024-09-30 11:21:44.044
2024-10-01 08:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	24.92	EUR	2024-09-30 11:21:44.044
2024-10-01 09:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	19.98	EUR	2024-09-30 11:21:44.044
2024-10-01 10:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	19.98	EUR	2024-09-30 11:21:44.044
2024-10-01 11:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	34.98	EUR	2024-09-30 11:21:44.044
2024-10-01 12:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	70.00	EUR	2024-09-30 11:21:44.044
2024-10-01 13:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	136.53	EUR	2024-09-30 11:21:44.044
2024-10-01 14:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	160.16	EUR	2024-09-30 11:21:44.044
2024-10-01 15:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	193.07	EUR	2024-09-30 11:21:44.044
2024-10-01 16:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	130.00	EUR	2024-09-30 11:21:44.044
2024-10-01 17:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	65.05	EUR	2024-09-30 11:21:44.044
2024-10-01 18:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	18.97	EUR	2024-09-30 11:21:44.044
2024-10-01 19:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	18.97	EUR	2024-09-30 11:21:44.044
2024-10-01 20:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	18.97	EUR	2024-09-30 11:21:44.044
2024-10-01 21:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	16.22	EUR	2024-09-30 11:21:44.044
2024-10-01 03:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	2680.00	UAH	2024-09-30 11:52:51.051
2024-10-01 07:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	5380.00	UAH	2024-09-30 11:52:51.051
2024-10-01 11:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	2562.00	UAH	2024-09-30 11:52:51.051
2024-10-01 15:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	8800.00	UAH	2024-09-30 11:52:51.051
2024-10-01 19:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	5000.00	UAH	2024-09-30 11:52:51.051
2024-10-01 02:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	84.01	EUR	2024-09-30 12:51:22.022
2024-10-01 06:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	123.81	EUR	2024-09-30 12:51:22.022
2024-10-01 10:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	58.48	EUR	2024-09-30 12:51:22.022
2024-10-01 14:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	55.90	EUR	2024-09-30 12:51:22.022
2024-10-01 18:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	173.81	EUR	2024-09-30 12:51:22.022
2024-10-01 00:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	97.68	EUR	2024-09-30 12:54:26.026
2024-10-01 04:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	88.13	EUR	2024-09-30 12:54:26.026
2024-10-01 08:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	99.54	EUR	2024-09-30 12:54:26.026
2024-10-01 12:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	56.28	EUR	2024-09-30 12:54:26.026
2024-10-01 16:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	103.57	EUR	2024-09-30 12:54:26.026
2024-10-01 20:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	125.45	EUR	2024-09-30 12:54:26.026
2024-10-01 02:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	0.09	EUR	2024-09-30 13:02:06.006
2024-10-01 06:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	115.98	EUR	2024-09-30 13:02:06.006
2024-10-01 10:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	56.02	EUR	2024-09-30 13:02:06.006
2024-10-01 14:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	97.65	EUR	2024-09-30 13:02:06.006
2024-10-01 18:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	165.15	EUR	2024-09-30 13:02:06.006
